,rn,rule
0,R06258,2003
1,R06258,149
2,R06258,10
3,R00994,7510
4,R05599,2486
5,R06262,528
6,R02289,2002
7,R01869,2002
8,R01763,2003_236
9,R05150,2003
10,R04117,211
11,R05522,149
12,R07404,2003_206_325
13,R09282,222
14,R02313,2003_298
15,R02313,2003_298_304
16,R05917,7567
17,R05245,211
18,R04464,2002
19,R06491,7512
20,R06489,7512
21,R03472,2002
22,R09307,2003
23,R09307,129_2003
24,R09293,4033_4052_633
25,R07476,2002
26,R06259,223
27,R06259,304
28,R05459,1
29,R11383,2003_244
30,R06456,2003_268
31,R12204,5084
32,R02858,2003
33,R11134,244
34,R11134,244_71
35,R11670,2003
36,R11670,101_2003
37,R10343,2003
38,R04559,4952_4953_602
39,R04559,4952_602
40,R00268,7510
41,R11050,217
42,R07677,247
43,R08599,7516
44,R12350,4126
45,R05922,3352
46,R01360,2002
47,R09559,2007
48,R09263,2003
49,R01087,2007
50,R05270,149
51,R05850,281
52,R01072,210_7573
53,R03027,222
54,R11667,3016_7577
55,R02488,4033_4052_633
56,R09569,2003
57,R12351,7515
58,R05282,2003_236
59,R11120,150
60,R10101,2003
61,R11364,101_2003
62,R09977,2002
63,R05598,374
64,R00813,2003
65,R00948,7516
66,R06490,7512
67,R11669,304
68,R02859,2003_268
69,R07618,2003_244
70,R09190,2485
71,R09190,2003_2485
72,R06238,7512
73,R05289,7524
74,R00617,301_304
75,R06463,149
76,R01977,2003
77,R00658,2002_218
78,R03540,7561
79,R05309,2003
80,R04097,147_323_325
81,R05969,3754
82,R05918,373
83,R09823,2003
84,R10782,4033_4052_633
85,R05377,281
86,R05348,2003_236
87,R06449,149
88,R05594,2486
89,R05520,2003
90,R05530,7512
91,R06497,7512
92,R11123,149
93,R11665,7581
94,R06128,7512
95,R03102,7524
96,R02555,129_2003
97,R05462,2485
98,R05462,2003_2485
99,R06696,304
100,R05347,2003_236
101,R06464,149
102,R09837,2486
103,R02107,179_217_231_244_325
104,R06263,226
105,R06263,2484
106,R09268,331
107,R09820,222_7524
108,R05532,2003
109,R00978,187_2002_2003_205
110,R04441,109_2_4_604
111,R04441,2003
112,R04441,2
113,R04441,12
114,R05235,7524
115,R06127,7512
116,R11362,327_4011_7584
117,R05664,7524
118,R03464,869
119,R00267,7510
120,R05463,2003
121,R04109,2003_304_547
